Dataset,SSDP-k30-foWRAcc,SSDP3x3-k30-foWRAcc,SSDPmXcAuto-k30-foWRAcc,SSDPmXcAuto3x3-k30-foWRAcc,SSDPm10Xc90-k30-foWRAcc,SSDPm10Xc903x3-k30-foWRAcc,SSDPm50Xc50-k30-foWRAcc,SSDPm50Xc503x3-k30-foWRAcc,SD-k30-foWRAcc
gordon-pn-width-2,0.13858327482881072,0.13929265488436465,0.13860067356511302,0.13860067356511302,0.1393999979650601,0.1393999979650601,0.1389434591943673,0.1389434591943673,0.13760467222205272
gordon-pn-width-4,0.13736973840847347,0.13630943296399173,0.13752073095041867,0.13752073095041867,0.13826399275561385,0.13826399275561385,0.13766114180478817,0.13766114180478817,0.13667266973942596
gordon-pn-width-8,0.13532126613961723,0.13597875522725195,0.1350829746751727,0.1350829746751727,0.1352752764974614,0.1352752764974614,0.1355209954926081,0.1355209954926081,0.1352522816763835
gravier-pn-freq-2,0.10207128684807257,0.10479024943310658,0.10224418934240362,0.10469175170068028,0.10202239229024943,0.10465702947845805,0.10218750000000001,0.10454294217687077,0.10501346371882089
gravier-pn-freq-4,0.05770620748299317,0.05770620748299317,0.05770620748299317,0.05770620748299317,0.05770620748299317,0.05770620748299317,0.05770620748299317,0.05770620748299317,0.05770620748299317
gravier-pn-freq-8,0.039317602040816316,0.039317602040816316,0.039317602040816316,0.039317602040816316,0.039317602040816316,0.039317602040816316,0.039317602040816316,0.039317602040816316,0.039317602040816316
gravier-pn-width-2,0.17966411564625856,0.16723001700680265,0.17335140306122448,0.1788307823129252,0.166499433106576,0.17398809523809525,0.17146789965986398,0.17784686791383225,0.15931122448979587
gravier-pn-width-4,0.14174815759637188,0.14097930839002268,0.13929244614512468,0.1452292375283447,0.1381239370748299,0.14258786848072563,0.1381370464852607,0.1450570436507937,0.14000141723356005
gravier-pn-width-8,0.10541383219954648,0.10795776643990931,0.10578550170068028,0.1087779903628118,0.10523136337868481,0.10743090986394559,0.10540745464852608,0.10787450396825397,0.11026785714285717
khan-pn-freq-2,0.20992357436801878,0.2099353321575544,0.2092676576803561,0.2092676576803561,0.20957084068195178,0.20957084068195178,0.21014025363231714,0.21014025363231714,0.2097841605778114
khan-pn-freq-4,0.1306794322667337,0.1306794322667337,0.1306794322667337,0.13068447131939182,0.1306794322667337,0.13068447131939182,0.1306794322667337,0.1306794322667337,0.13072982279331472
khan-pn-freq-8,0.07860922146636429,0.07860922146636429,0.07860922146636429,0.07860922146636429,0.07860922146636429,0.07860922146636429,0.07860922146636429,0.07860922146636429,0.07860922146636429
khan-pn-width-2,0.21223230032753843,0.2138070042831947,0.21301251364743426,0.21301251364743426,0.21160745779793397,0.21160745779793397,0.2132081968589905,0.21360712186109013,0.21373981691441996
khan-pn-width-4,0.1572763920382968,0.16014949189552355,0.15767699672461577,0.1607264634248761,0.1579222306206433,0.1603913664231124,0.15757201646090535,0.16027546821197614,0.16265222138238003
khan-pn-width-8,0.103180482069371,0.10608885529520448,0.1027714789619552,0.10580498866213153,0.10273788527756786,0.10562274292433023,0.10355001259763168,0.10600739061056522,0.10749979003947255
nakayama-pn-freq-2,0.14674285714285712,0.14641269841269847,0.14686984126984126,0.14686984126984126,0.14678095238095237,0.14679999999999999,0.14663492063492065,0.14672380952380953,0.14673015873015868
nakayama-pn-freq-4,0.09262857142857144,0.09726984126984127,0.0910984126984127,0.09685079365079366,0.09264761904761905,0.09695238095238098,0.0910793650793651,0.09683809523809526,0.09771428571428573
nakayama-pn-freq-8,0.06552380952380946,0.06565079365079361,0.06552380952380946,0.06565079365079361,0.06552380952380946,0.06565079365079361,0.06552380952380946,0.06565079365079361,0.06565079365079361
nakayama-pn-width-2,0.15446349206349205,0.15549206349206343,0.15521269841269839,0.15521269841269839,0.15464761904761903,0.15464761904761903,0.15425396825396823,0.15425396825396823,0.15644444444444436
nakayama-pn-width-4,0.15504126984126984,0.1554285714285715,0.15437460317460314,0.15437460317460314,0.15531428571428574,0.15531428571428574,0.1554222222222222,0.1554222222222222,0.15606349206349196
nakayama-pn-width-8,0.15444444444444447,0.15371428571428572,0.15463492063492068,0.15463492063492068,0.15455873015873017,0.15455873015873017,0.1545714285714286,0.1545714285714286,0.15479365079365076
pomeroy-pn-freq-2,0.1143027777777778,0.11419444444444446,0.11446666666666669,0.11499444444444448,0.11446944444444447,0.11467222222222226,0.11403055555555557,0.11431666666666669,0.11416666666666668
pomeroy-pn-freq-4,0.07361111111111109,0.07361111111111109,0.07361111111111109,0.07361111111111109,0.07361111111111109,0.07361111111111109,0.07361111111111109,0.07361111111111109,0.07361111111111109
pomeroy-pn-freq-8,0.04666666666666664,0.04666666666666664,0.04666666666666664,0.04666666666666664,0.04666666666666664,0.04666666666666664,0.04666666666666664,0.04666666666666664,0.04666666666666664
pomeroy-pn-width-2,0.19134444444444443,0.201,0.18968333333333326,0.19742499999999996,0.18613055555555552,0.1945861111111111,0.18840555555555555,0.19541666666666666,0.1701666666666666
pomeroy-pn-width-4,0.1462222222222222,0.16472222222222221,0.14555555555555552,0.16766666666666663,0.1436333333333333,0.1576972222222222,0.14518888888888887,0.16439444444444445,0.1584722222222222
pomeroy-pn-width-8,0.09955,0.11922222222222227,0.09938888888888886,0.11552499999999996,0.09136666666666665,0.10924166666666665,0.09218888888888886,0.11595833333333332,0.12600000000000008
shipp-pn-freq-2,0.11981784449316916,0.11981784449316916,0.11981784449316916,0.11981784449316916,0.11981784449316916,0.11981784449316916,0.11981784449316916,0.11981784449316916,0.11981784449316916
shipp-pn-freq-4,0.06430539157811886,0.06430539157811886,0.06430539157811886,0.06430539157811886,0.06430539157811886,0.06430539157811886,0.06430539157811886,0.06430539157811886,0.06430539157811886
shipp-pn-freq-8,0.03589138134592678,0.03589138134592678,0.03589138134592678,0.03589138134592678,0.03589138134592678,0.03589138134592678,0.03589138134592678,0.03589138134592678,0.03589138134592678
shipp-pn-width-2,0.16247146792601336,0.17095631641086168,0.1602816663855625,0.16910496429976946,0.16058919435542812,0.16617136110642608,0.16019283746556476,0.169423174228369,0.16107269354022596
shipp-pn-width-4,0.1391072131331871,0.14922134142913362,0.13958621465114965,0.1461387530218699,0.13942429864507783,0.1456367009613762,0.1381216618878956,0.1453735874515095,0.1399280373306347
shipp-pn-width-8,0.13021926125822225,0.13242255579917916,0.13024006296733565,0.1336464833867431,0.1271214932253893,0.1294338561871029,0.1301787822567043,0.13316973070219823,0.13291167706752122
singh-pn-freq-2,0.18376714084326537,0.18378187876457772,0.18377098551839027,0.18377354863514028,0.1837543252595155,0.18375688837626547,0.1837697039600153,0.18377483019351523,0.18380110214020243
singh-pn-freq-4,0.11483467896962699,0.1148340381904395,0.1148340381904395,0.11498590285787509,0.1148340381904395,0.11493271818531325,0.1148340381904395,0.11486735870818907,0.11551326412918103
singh-pn-freq-8,0.07787902088940152,0.08317313853646034,0.0767518902986031,0.08208637703447394,0.07673330770216583,0.08172561835191593,0.07673330770216583,0.08157695758041779,0.08494168909393819
singh-pn-width-2,0.23584967320261443,0.23667820069204154,0.23621235422273493,0.2363744713571704,0.234928232731001,0.23516980648468544,0.23544405997693202,0.23544405997693202,0.23522363193643475
singh-pn-width-4,0.22180891964628988,0.22611815968217358,0.22145008330129437,0.2243150070485711,0.22092528514673843,0.22395873382032558,0.22165449186210423,0.22497244649493792,0.22594514930155057
singh-pn-width-8,0.22308278867102405,0.22338844034345767,0.22262719466871722,0.22345764449570682,0.22263488401896714,0.22320133282071009,0.22286107907215183,0.2233967704728951,0.2237152377290786
sorlie-pn-freq-2,0.17738869665513265,0.1780115340253749,0.17712664359861596,0.17771257208765862,0.1771944636678201,0.17780576701268747,0.17710265282583623,0.17756955017301043,0.1782053056516725
sorlie-pn-freq-4,0.1030943483275663,0.10346943483275664,0.1025933102652826,0.10336055363321797,0.10185559400230679,0.1033910034602076,0.10226666666666666,0.1033517877739331,0.10361707035755477
sorlie-pn-freq-8,0.06614532871972321,0.06614532871972321,0.06614532871972321,0.06614532871972321,0.06614532871972321,0.06614532871972321,0.06614532871972321,0.06614532871972321,0.06614532871972321
